Escuela_DE,I_02,I_36,I_710,I_1114,I_06,I_714,I_314,Cob_est,Public + social secutity,pob,vincNBI,preciom2,Dist_CESAC,NEAR_FID,POINT_X,POINT_Y,DE,COMUNA,BARRIO
8_19,17.6,34.3,25,23.1,51.9,48.1,82.4,69.4,30.6,120041,3,2756.521424,1397.861127,13,103147.9179,96650.8051,19,8,VILLA SOLDATI
8_2,25.9,33.1,25.2,15.8,59,41,74.1,61.9,38.1,47549,0.818181818,1995.594377,173.6837718,21,104769.1736,103209.5388,2,3,BALVANERA
8_20,34.7,34.7,15,15.6,69.4,30.6,65.3,55.8,44.2,46789,1.929824561,2320.572875,1547.706002,19,95525.1876,98548.0329,20,9,LINIERS
8_21,21.8,29.5,22.1,26.5,51.3,48.7,78.2,77.3,22.7,41663,1.553191489,2110.890635,977.7516219,5,98402.9627,94747.9983,21,8,VILLA LUGANO
8_5,20.9,25.3,36.3,17.6,46.2,53.8,79.1,73.6,26.4,63079,7.112359551,3128.920963,1062.36959,28,106851.3639,98837.9363,5,4,BARRACAS
8_6,32.8,28.7,17.2,21.3,61.5,38.5,67.2,40.2,59.8,127375,1.700636943,3485.523743,539.3117406,26,104478.0251,99464.4115,6,5,BOEDO
8_7,42.9,40,7.6,9.5,82.9,17.1,57.1,21,79,88928,1.868421053,3372.210561,2348.390744,29,100961.068,102234.8723,7,6,CABALLITO
8_8,27.5,35.8,19.2,17.5,63.3,36.7,72.5,49.2,50.8,9813,2,3890.472572,2257.605407,1,102659.1112,100583.6871,8,6,CABALLITO
8_9,58.2,29.5,6.2,6.2,87.7,12.3,41.8,18.5,81.5,110274,2.378571429,2710.795783,2045.898559,8,102735.3648,106663.5458,9,14,PALERMO
9_1,42.5,28.7,19.5,9.2,71.2,28.7,57.5,34.5,65.5,67191,0.022988506,2433.670733,1860.993008,11,107399.6312,102549.2161,1,1,SAN NICOLAS
9_10,45,39.8,11.1,4.1,84.8,15.2,55,22.8,77.2,67807,1.88372093,3182.625103,2409.441819,22,100218.506,108665.6061,10,13,NUÃ‘EZ
9_11,37.3,26.5,21.6,14.7,63.8,36.3,62.7,32.4,67.6,56081,2.424242424,2230.206697,2360.951214,17,99432.145,99644.8439,11,7,FLORES
9_12,15.4,33.8,21.3,29.4,49.2,50.7,84.6,83.8,16.2,67823,1.376623377,3091.19863,1587.990366,17,98645.1717,99855.8722,12,10,FLORESTA
9_13,11.2,27.1,34.7,27.1,38.3,61.8,88.8,77.6,22.4,68577,2.058823529,2194.540615,760.4069288,25,98286.0298,96282.9684,13,8,VILLA LUGANO
9_15,57.7,30.9,7.2,4.1,88.6,11.3,42.3,16.5,83.5,66277,0.7625,2450.951044,1149.223403,22,98413.4182,105598.7515,15,12,VILLA URQUIZA
9_16,40,39,14.3,6.7,79,21,60,19,81,54117,1.95,2965.752474,1230.889032,23,96831.49,106453.7986,16,12,VILLA URQUIZA
9_17,45.9,34.1,14.1,5.9,80,20,54.1,36.5,63.5,55854,0.90625,2506.939841,1852.901286,17,95723.313,101639.9544,17,11,VILLA DEVOTO
9_18,56.7,24.9,10.6,7.8,81.6,18.4,43.3,32.7,67.3,59114,1.59375,2430.007763,1015.348397,17,96789.289,101645.9095,18,10,MONTE CASTRO
9_19,20.8,24.8,20.8,33.6,45.6,54.4,79.2,64.8,35.2,85799,1.237623762,2586.868231,1425.83175,6,103229.9269,96504.7557,19,8,VILLA SOLDATI
9_2,49.2,33.7,11.2,5.9,82.9,17.1,50.8,26.7,73.3,57994,1.447761194,2373.352264,1094.991586,21,103972.6216,104059.5526,2,14,PALERMO
9_20,34.2,32.1,18.1,15.6,66.3,33.8,65.8,60.8,39.2,47397,1.98245614,2321.003076,1436.446058,19,95547.5994,98438.2847,20,9,LINIERS
9_21,20.2,36.1,21.9,21.9,56.3,43.7,79.8,65,35,72644,1.388235294,2478.134467,433.3059833,18,99987.1654,93389.3143,21,8,VILLA LUGANO
